,Team,ID,Batting_Games,At_Bats,Batting_Runs,Batting_Hits,Doubles,Triples,Batting_Home_Runs,Runs_Batted_In,Batting_Bases_On_Balls,Batting_Strike_Outs,Stolen_Bases,Caught_Stealing,Batting_Average,On_Base_Percentage,Slugging_Percentage,On_Base_Plus_Slugging,Pitching_Games,Pitching_Games_Started,Wins,Losses,Saves,Blown_Saves,Holds,Complete_Games,Shutouts,Innings_Pitched,Pitching_Hits,Pitching_Runs,Earned_Runs,Pitching_Home_Runs,Pitching_Bases_On_Balls,Pitching_Strikeouts,Earned_Runs_Average,Walks_Plus_Hits_Per_Inning_Pitched,Batting_Average_Against,Fielding_Games,Position,Fielding_Games_Started,Innings,Putouts,Total_Chance,Assists,Errors,Double_Plays,Fielding
0,tam,9935.0,3,3,0,2,1,0,0,0,1,0,0,0,.667,.750,1.000,1.750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,2B,1,8,3,7,3,1,1,.857
1,tam,8655.0,466,1573,169,333,67,4,80,245,85,484,2,3,.212,.258,.412,.670,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,423,P,391,3497,2835,3075,214,26,29,.992
2,tam,9895.0,41,105,22,31,5,1,9,19,6,31,4,3,.295,.351,.619,.970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41,LF,24,225,63,65,1,1,1,.985
3,tam,8368.0,550,1588,222,417,99,9,37,204,234,272,15,5,.263,.361,.406,.767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,336,C,283,2491,1978,2086,95,13,11,.994
4,tam,8921.0,491,1526,180,384,73,8,35,151,139,326,28,8,.252,.323,.379,.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,457,2B,373,3385,698,1638,907,33,153,.980
5,tam,7725.0,1343,4680,498,1334,251,20,99,635,381,615,38,21,.285,.338,.411,.749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1298,1B,1175,10665,9943,10716,706,67,866,.994
6,tam,9482.0,102,274,33,75,14,0,8,31,20,91,5,2,.274,.330,.412,.742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42,LF,27,242,59,61,1,1,0,.984
7,tam,7914.0,1119,4204,628,1138,261,13,205,708,481,967,45,11,.271,.348,.485,.833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1052,3B,1043,9189,812,2825,1919,94,240,.967
8,tam,8651.0,502,1876,289,468,92,21,48,171,198,423,93,27,.249,.327,.398,.725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,491,LF,462,4133,1033,1051,14,4,2,.996
9,tam,7947.0,1106,4140,561,1107,248,22,102,509,348,802,78,29,.267,.329,.412,.740,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1078,2B,1048,9219,1626,4624,2900,98,695,.979
